Year,Associate,Bachelor's,Mater’s,Doctorate
1991 - 1992,2162,1809,1297,477
1992 - 1993,2145,1813,1310,473
1993 - 1994,2182,1853,1347,473
1994 - 1995,2184,1855,1351,482
1995 - 1996,2385,1862,1368,488
1996 - 1997,2470,1868,1391,504
1997 - 1998,2465,1910,1416,517
1999 - 2000,2546,1995,1499,535
2001 - 2002,2580,2009,1508,544
2002 - 2003,2612,2070,1546,557
2003 - 2004,2636,2121,1580,568
2004 - 2005,2691,2194,1617,596
2005 - 2006,2668,2214,1658,622
2006 - 2007,2725,2256,1695,648
2007 - 2008,2768,2301,1736,693
2008 - 2009,2786,2348,1777,737
2009 - 2010,2839,2403,1823,817
2010 - 2011,2955,2461,1851,860
2011 - 2012,2968,2533,1881,885
2012 - 2013,3029,2578,1930,915
2013 - 2014,3006,2588,1902,939
2014 - 2015,2971,2597,1926,954
2015 - 2016,2759,2447,1920,981
2016 - 2017,2701,2445,1924,1016
2017 - 2018,2457,2335,1884,1011
2018 - 2019,2398,2306,1871,1035
2019 - 2020,2359,2267,1852,1039
2020 - 2021,,,,
2021 - 2022,,,,
CAGR At Peak,1.62%,1.58%,1.91%,2.82%
CAGR Decline,-3.5%,-2.7%,-0.6%,0
,,,,
NCES,,,,
"Number of degree-granting institutions conferring degrees, by level of degree and discipline division",,,,
